priority,site,page_id,page_family,canonical_candidate,primary_query,query_2,query_3,truth_score,quality_score,provenance_score,current_state,reason_for_priority
62,fixcode,fix:bosch:dishwasher:leaking,symptom,/fixcode/bosch/dishwasher/leaking,bosch dishwasher leaking: causes & checks,,,87,49,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
62,fixcode,fix:bosch:dishwasher:will-not-start,symptom,/fixcode/bosch/dishwasher/will-not-start,bosch dishwasher will not start: causes & checks,,,87,49,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
62,fixcode,fix:bosch:dishwasher:not-draining,symptom,/fixcode/bosch/dishwasher/not-draining,bosch dishwasher not draining: causes & checks,,,87,49,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
62,fixcode,fix:bosch:dishwasher:standing-water,symptom,/fixcode/bosch/dishwasher/standing-water,bosch dishwasher standing water: causes & checks,,,87,49,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
61,fixcode,fix:bosch:washer:not-draining,symptom,/fixcode/bosch/washer/not-draining,bosch washer not draining: causes & checks,,,87,48,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
61,fixcode,fix:bosch:washer:not-filling,symptom,/fixcode/bosch/washer/not-filling,bosch washer not filling: causes & checks,,,87,48,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
61,fixcode,fix:bosch:washer:takes-too-long-to-fill,symptom,/fixcode/bosch/washer/takes-too-long-to-fill,bosch washer takes too long to fill: causes & checks,,,87,48,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
61,fixcode,fix:bosch:washer:standing-water,symptom,/fixcode/bosch/washer/standing-water,bosch washer standing water: causes & checks,,,87,48,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
61,fixcode,fix:bosch:washer:leaking,symptom,/fixcode/bosch/washer/leaking,bosch washer leaking: causes & checks,,,87,48,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
61,fixcode,fix:miele:dishwasher:not-draining,symptom,/fixcode/miele/dishwasher/not-draining,miele dishwasher not draining: causes & checks,,,87,48,87,REVIEW_REQUIRED,known brand with existing provenance; actionable diagnostic; not a near-duplicate
